x,z1,z2,,,,,,,,,,,,,
2,18.1358,20.4621,,,,,,,,,,,,,
2.5025,17.6972,19.9739,,,,,,,,,,,,,
3.0051,17.3316,19.6078,,,,,,,,,,,,,
3.0203,17.3222,19.6005,,,,,,,,,,,,,
3.4924,17.0791,19.5144,,,,,,,,,,,,,
3.9949,16.9008,19.5718,,,,,,,,,,,,,
4.4975,16.8188,19.7154,,,,,,,,,,,,,
4.5279,16.8146,19.7269,,,,,,,,,,,,,
4.9695,16.7556,19.9452,,,,,,,,,,,,,
5,16.7572,19.9639,,,,,,,,,,,,,
5.5025,16.8721,20.3076,,,,,,,,,,,,,
5.5178,16.8747,20.3185,,,,,,,,,,,,,
5.9746,16.9295,20.6781,,,,,,,,,,,,,
6.0203,16.9425,20.7206,,,,,,,,,,,,,
6.5076,17.1593,21.2376,,,,,,,,,,,,,
6.9949,17.3821,21.7546,,,,,,,,,,,,,
7.0102,17.389,21.7717,,,,,,,,,,,,,
7.4975,17.6188,22.3577,,,,,,,,,,,,,
7.9848,17.8773,22.9427,,,,,,,,,,,,,
8,17.8869,22.9608,,5.0739,22.504149,,,5.279,22.98799,,,22.73155427,,,
8.4721,18.2031,23.564,,,,,,,,,,,,,
8.5025,18.2219,23.6075,,,,,,,,,,,,,
8.9898,18.5091,24.3188,,,1.85,1.91,,,,,,,,,
9.0051,18.52,24.3394,,5.8194,23.46649,23.815654,1.311505,5.8807,24.014595,,,23.72409935,,0.99254508,0.043663758
9.4772,18.9112,24.9138,,,,,0.058278365,,,,,,,,
10.0102,19.3133,25.6319,,6.3186,24.431366,25.063226,,6.4227,25.045487,,,24.72000287,,0.99590352,
10.4975,19.7154,26.3013,,,,,,,,,,,,,
10.5127,19.7266,26.3211,,25.063226,2.559077,1.2795385,,,,,,,,,
11,20.0601,26.9243,,,,,,,,,,,,,
11.5025,20.4909,27.5561,,,23.233714,23.699266,,,,,,,,,
11.9898,20.8642,28.1699,,,,,,,,,,,,,
12.0051,20.8763,28.188,,,,,,,,,,,,,
12.5076,21.295,28.7722,,,,,,,,,,,,,
12.5228,21.3072,28.7911,,,,,,,,,,,,,
12.9797,21.6684,29.3768,,,,,,,,,,,,,
12.9949,21.6818,29.3943,,,,,,,,,,,,,
13.5127,22.1567,29.924,,,,,,,,,,,,,
13.5279,22.1695,29.9399,,,,,,,,,,,,,
13.9848,22.5181,30.4569,,,,,,,,,,,,,
14,22.53,30.4731,,,,,,,,,,,,,
14.4721,22.9321,30.9428,,,,,,,,,,,,,
14.9898,23.3342,31.4197,,,,,,,,,,,,,
15.0051,23.3451,31.4334,,,,,,,,,,,,,
15.5076,23.7076,31.8787,,,,,,,,,,,,,
15.9797,24.1097,32.2931,,,,,,,,,,,,,
16.4975,24.4811,32.7546,,,,,,,,,,,,,
16.9695,24.8067,33.2141,,,,,,,,,,,,,
17,24.8277,33.2363,,,,,,,,,,,,,
17.4569,25.1448,33.5587,,,,,,,,,,,,,
17.9898,25.517,34.0129,,,,,,,,,,,,,
18.5076,25.8767,34.4778,,,,,,,,,,,,,
18.9949,26.2139,34.9373,,,,,,,,,,,,,
19.0254,26.235,34.9674,,,,,,,,,,,,,
