x,z1,z2,,,,,,,,,,
1.9741,18.0466,20.3725,,,,,,,,,,
2.0028,18.0187,20.352,,,,,,,,,,
2.5068,17.5418,19.9985,,,,,,,,,,
2.5203,17.5299,19.9894,,,,,,,,,,
2.9616,17.1847,19.7497,,,,,,,,,,
2.9939,17.1623,19.7394,,,,,,,,,,
3.4944,16.8681,19.6809,,,,,,,,,,
3.5269,16.8548,19.6811,,,,,,,,,,
3.9816,16.7525,19.7332,,,,,,,,,,
3.999,16.7502,19.7378,,,,,,,,,,
4.4689,16.6943,19.9292,,,,,,,,,,
4.4864,16.6926,19.938,,,,,,,,,,
4.9715,16.6935,20.2128,,,,,,,,,,
4.9892,16.6967,20.2242,,,,,,,,,,
5.4589,16.865,20.5805,,,,,,,,,,
5.4768,16.8729,20.5966,,,,,,,,,,
5.9949,17.0893,21.1125,,,,,,,,,,
6.0073,17.0937,21.125,,,,,,,,,,
6.4947,17.2652,21.5968,,,,,,,,,,
6.4978,17.2666,21.5996,,,,,,,,,,
6.9974,17.5514,22.1115,,,,,,,,,,
7.0007,17.5534,22.1155,,,,,,,,,,
7.4697,17.8377,22.7986,,,,,,,,,,
7.4732,17.84,22.8037,,,,,,,,,,
7.9725,18.1814,23.4583,,,1.91 z,,,,,,,
7.9762,18.1841,23.4631,,5.279,22.98799,,,,,,,
8.4906,18.5824,24.1522,,,,,,,,,,
8.5097,18.5981,24.1799,,,,,,,,,,
8.9934,19.0122,24.891,,,1.85 z,1.89 z,1.81 z,,,,,
8.9976,19.016,24.8967,,5.8807,24.014595,24.249823,23.779367,,,24.367437,,
9.5115,19.4707,25.5504,,,,,,,,,,
9.5158,19.4741,25.5561,,,1.81 z,,,1.026605,,NH,,
9.9991,19.8431,26.2658,1.81z,6.4227,25.045487,,,1.030892,,25.687757,2.699767,1.3498835
10.0036,19.8468,26.273,,,,, ,,,,,
10.5019,20.3015,27.0402,,,,,,,,,,
10.5067,20.3058,27.0472,,,,,,,,,,
11.0048,20.7313,27.7289,,,,,,,,,,
11.0097,20.7356,27.7353,,,,,,,,,,
11.5076,21.1898,28.3874,,,,,,,,,,
11.5127,21.1944,28.3947,,,,,,,,,,
11.98,21.5909,29.1039,,,,,,,,,,
11.9853,21.5951,29.1116,,,,,,,,,,
12.498,21.9919,29.7926,,,,,,,,,,
12.5036,21.9962,29.7997,,,,,,,,,,
12.9913,22.3852,30.4304,,,,,,,,,,
13.0009,22.393,30.4427,,,,,,,,,,
13.4885,22.7941,31.054,,,,,,,,,,
13.4943,22.7989,31.0611,,,,,,,,,,
13.9913,23.1952,31.6647,,,,,,,,,,
14.0125,23.2112,31.6918,,,,,,,,,,
14.4941,23.5388,32.2589,,,,,,,,,,
14.5002,23.5425,32.2651,,,,,,,,,,
14.9968,23.8251,32.7432,,,,,,,,,,
15.4996,24.1687,33.2329,,,,,,,,,,
15.506,24.1731,33.2395,,,,,,,,,,
15.9871,24.455,33.8047,,,,,,,,,,
15.9937,24.4586,33.8128,,,,,,,,,,
16.5118,24.7387,34.3,,,,,,,,,,
16.9926,24.9988,34.7575,,,,,,,,,,
17.4953,25.2563,35.2412,,,,,,,,,,
18.0052,25.4862,35.7328,,,,,,,,,,
18.5159,25.714,36.2135,,,,,,,,,,
18.5234,25.7173,36.22,,,,,,,,,,
