sex,agemos,L,M,S,sigma,P3,P5,P10,P25,P50,P75,P85,P90,P95,P98,P99,P99_9,P99_99,pct120ofP95,Z2neg,Z1_5neg,Z1neg,Z0_5neg,Z0,Z0_5,Z1,Z1_5,Z2,Z2_5,Z3,Z3_5,Z4,Z4_5,Z5
1,24,-2.01118107,16.57502768,0.080592465,1.3756,14.521,14.7373,15.0903,15.7416,16.575,17.5572,18.1622,18.6095,19.338,20.4957,21.1009,22.5381,23.5889,23.205613,14.4152,14.8751,15.3821,15.9451,16.575,17.2864,18.0984,19.0374,20.3657,21.4529,22.3802,23.2312,24.0383,24.8175,25.5777
1,24.5,-1.982373595,16.54777487,0.080127429,1.395718,14.5035,14.7193,15.0712,15.7196,16.5478,17.5213,18.1195,18.5611,19.2789,20.4536,21.0676,22.5258,23.592,23.134678,14.398,14.8566,15.3618,15.922,16.5478,17.2532,18.0566,18.9829,20.3216,21.4247,22.3656,23.229,24.0479,24.8385,25.6099
1,25.5,-1.924100169,16.49442763,0.079233994,1.435858,14.4688,14.6836,15.0334,15.6763,16.4944,17.4514,18.0367,18.4673,19.1647,20.3731,21.0048,22.505,23.6018,22.997592,14.3637,14.8202,15.3218,15.8765,16.4944,17.1883,17.9751,18.8775,20.2374,21.3722,22.3401,23.2284,24.0708,24.8842,25.6777
1,26.5,-1.86549793,16.44259552,0.078389356,1.475872,14.4346,14.6484,14.9962,15.634,16.4426,17.3838,17.957,18.3774,19.0557,20.2978,20.9471,22.4891,23.6165,22.866809,14.3299,14.7843,15.2826,15.8322,16.4426,17.1256,17.8968,18.7767,20.1583,21.3247,22.3196,23.2326,24.0986,24.9346,25.7502
1,27.5,-1.807261899,16.3922434,0.077593501,1.515759,14.4008,14.6138,14.9597,15.5927,16.3922,17.3187,17.8805,18.2913,18.9519,20.2276,20.8944,22.4781,23.6359,22.742241,14.2965,14.749,15.2441,15.789,16.3922,17.065,17.8216,18.6805,20.0843,21.2822,22.304,23.2417,24.131,24.9897,25.8274
1,28.5,-1.750118905,16.34333654,0.076846462,1.55552,14.3675,14.5797,14.9238,15.5523,16.3433,17.2559,17.807,18.2089,18.8532,20.1623,20.8466,22.4718,23.6601,22.623798,14.2635,14.7143,15.2065,15.7467,16.3433,17.0065,17.7494,18.5889,20.0153,21.2446,22.2933,23.2555,24.1682,25.0493,25.909
1,29.5,-1.69481584,16.29584097,0.076148308,1.595155,14.3348,14.5461,14.8887,15.5128,16.2958,17.1955,17.7367,18.1303,18.7595,20.102,20.8038,22.4704,23.6889,22.511392,14.2311,14.6801,15.1695,15.7055,16.2958,16.95,17.6801,18.5017,19.9512,21.2119,22.2873,23.274,24.21,25.1135,25.9951
1,30.5,-1.642106779,16.24972371,0.075499126,1.634663,14.3026,14.5132,14.8541,15.4741,16.2497,17.1373,17.6693,18.0554,18.6708,20.0465,20.7657,22.4736,23.7223,22.404934,14.1992,14.6466,15.1334,15.6653,16.2497,16.8955,17.6138,18.4188,19.892,21.1839,22.2859,23.2971,24.2562,25.1822,26.0856
1,31.5,-1.592744414,16.20495268,0.074898994,1.674045,14.2709,14.4808,14.8203,15.4364,16.205,17.0813,17.6049,17.9841,18.5869,19.9959,20.7323,22.4814,23.7601,22.304335,14.1678,14.6137,15.098,15.6261,16.205,16.8429,17.5504,18.3404,19.8376,21.1606,22.2892,23.3247,24.307,25.2552,26.1804
1,32.5,-1.547442391,16.16149871,0.074347997,1.713301,14.2399,14.4491,14.7871,15.3995,16.1615,17.0275,17.5435,17.9164,18.5079,19.9499,20.7036,22.4937,23.8024,22.209506,14.1371,14.5815,15.0633,15.5878,16.1615,16.7923,17.4898,18.2662,19.7879,21.142,22.297,23.3568,24.3621,25.3326,26.2795
